date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct
2023-01-22,160,Kindervreugd,,,99.0
2023-01-22,160,Kleuterhof,,,99.0
2023-01-22,160,Max & Moritz,43.0,60.0,80.0
2023-01-22,160,Max & Moritz Single-rider,35.0,70.0,72.0
2023-01-22,160,Monorail,20.0,30.0,99.0
2023-01-22,160,Nest!,,,13.0
2023-01-22,160,Pagode,16.0,45.0,92.0
2023-01-22,160,Piraña,,,0.0
2023-01-22,160,Python,46.0,60.0,100.0
2023-01-22,160,Python Single-rider,46.0,60.0,77.0
2023-01-22,160,Sirocco,15.0,30.0,100.0
2023-01-22,160,Stoomcarrousel,15.0,15.0,99.0
2023-01-22,160,Stoomtrein Marerijk,25.0,25.0,100.0
2023-01-22,160,Stoomtrein Ruigrijk,25.0,25.0,100.0
2023-01-22,160,Symbolica,52.0,60.0,99.0
2023-01-22,160,Symbolica Single-rider,22.0,40.0,100.0
2023-01-22,160,The Six Swans,14.0,30.0,97.0
2023-01-22,160,Villa Volta,24.0,45.0,100.0
2023-01-22,160,Vogel Rok,29.0,40.0,100.0
2023-01-22,160,Volkvanlaaf,,,99.0
